accuracy,val_accuracy,loss,val_loss
0.9549663662910461,0.9868798851966858,0.15039025247097015,0.04696907103061676
0.9725800156593323,0.9894082546234131,0.0820465236902237,0.034328803420066833
0.9758772850036621,0.9898182153701782,0.07436078786849976,0.03391747176647186
0.9794649481773376,0.9916632771492004,0.058135636150836945,0.030365537852048874
0.98179692029953,0.9946699738502502,0.052398450672626495,0.020773470401763916
0.9822838306427002,0.9915949106216431,0.05351917818188667,0.025711819529533386
0.9832575917243958,0.9846248626708984,0.047705549746751785,0.047445766627788544
0.9853162169456482,0.9943282604217529,0.04288403317332268,0.01744777522981167
0.9851112365722656,0.992824912071228,0.04396916553378105,0.025438159704208374
0.9860252141952515,0.9961733222007751,0.03904762119054794,0.013791322708129883
0.9869819283485413,0.9978132843971252,0.036016225814819336,0.007511405274271965
0.9874175786972046,0.9964466094970703,0.03689137101173401,0.010620081797242165
0.9882034659385681,0.9963099360466003,0.03335519880056381,0.013127274811267853
0.9888697266578674,0.9961049556732178,0.03142259269952774,0.011984776705503464
0.9905524849891663,0.9969249963760376,0.024973886087536812,0.010800553485751152
0.9917654991149902,0.9976083040237427,0.02246955595910549,0.00822705589234829
0.9923804998397827,0.9983599781990051,0.020690076053142548,0.005515443626791239
0.9921071529388428,0.9974033236503601,0.020733924582600594,0.008622669614851475
0.9922010898590088,0.9972666501998901,0.02044408582150936,0.008839951828122139
0.9911931753158569,0.9981549978256226,0.02436850592494011,0.005386699922382832
0.9934311509132385,0.9976083040237427,0.015691474080085754,0.0059285894967615604
0.9943793416023254,0.9984966516494751,0.011726918630301952,0.005110608413815498
0.9959254264831543,0.9993849992752075,0.010117861442267895,0.0021007817704230547
0.9960023164749146,0.9989749789237976,0.009204442612826824,0.002656072610989213
0.9966173768043518,0.999180018901825,0.007874581962823868,0.0020392537117004395
0.9971213340759277,0.9995216727256775,0.0076708123087882996,0.0014168665511533618
0.9972152709960938,0.9995899796485901,0.006125885993242264,0.001233996357768774
0.9970957040786743,0.9988383054733276,0.006657474208623171,0.003433800768107176
0.9974800944328308,0.9994533061981201,0.005338530987501144,0.0017772293649613857
0.9977619647979736,0.9993849992752075,0.0050726281479001045,0.0020019938237965107
0.9982403516769409,0.9999316930770874,0.004248771816492081,0.0004133504698984325
